PO_Number,Request_Date,Approval_Date,Department,Category,Supplier,Amount,Status,Region,Notes
PO0001,6/12/2024,6/14/2024,Finance,Office Supplies,Rahman Traders,5000,Pending,Dhaka,
PO0002,5/19/2024,,HR,Office Supplies,Karim Services,120000,Cancelled,Khulna,Urgent
PO0003,5/23/2024,5/27/2024,Admin,Raw Material,TechCorp BD,120000,Active,Rajshahi,
PO0004,3/12/2024,3/15/2024,IT,IT Equipment,Office Plus,25000,Active,Dhaka,
PO0005,3/29/2024,4/8/2024,Operations,Maintenance,Office Plus,50000,Active,Dhaka,On hold
PO0006,3/16/2024,3/30/2024,HR,IT Equipment,Karim Services,80000,Active,Dhaka,Regular
PO0007,1/26/2024,2/2/2024,IT,Office Supplies,Digital Hub,50000,Active,CTG,
PO0008,3/9/2024,3/21/2024,Finance,Maintenance,Karim Services,8000,Active,Rajshahi,Approved
PO0009,3/10/2024,3/25/2024,HR,Office Supplies,TechCorp BD,25000,Active,Rajshahi,
PO0010,1/17/2024,1/21/2024,Operations,Services,Paper World,80000,Active,Sylhet,Regular
PO0011,3/4/2024,3/16/2024,Operations,Maintenance,Printers Ltd,50000,Active,CTG,Regular
PO0012,5/10/2024,5/18/2024,HR,Office Supplies,Rahman Traders,8000,Pending,Rajshahi,On hold
PO0013,1/17/2024,1/24/2024,Operations,Maintenance,Islam & Sons,120000,Cancelled,Dhaka,
PO0014,1/30/2024,2/10/2024,IT,IT Equipment,Islam & Sons,50000,Active,CTG,Approved
PO0015,1/1/2024,1/13/2024,Finance,Maintenance,Office Plus,50000,Pending,Sylhet,
PO0016,5/9/2024,5/19/2024,Finance,Maintenance,Mia Supplies,25000,Active,Khulna,
PO0017,5/5/2024,5/6/2024,IT,Office Supplies,TechCorp BD,8000,Active,Khulna,Urgent
PO0018,1/22/2024,2/3/2024,Admin,Office Supplies,Rahman Traders,200000,Pending,Rajshahi,On hold
PO0019,2/12/2024,2/17/2024,Admin,Office Supplies,Islam & Sons,120000,Active,Sylhet,Approved
PO0020,5/12/2024,5/20/2024,HR,Raw Material,TechCorp BD,8000,Cancelled,Khulna,Regular
PO0021,5/30/2024,,HR,Office Supplies,Office Plus,5000,Active,Sylhet,Urgent
PO0022,5/11/2024,5/15/2024,Finance,Maintenance,Rahman Traders,50000,Pending,Khulna,On hold
PO0023,5/1/2024,5/5/2024,Finance,IT Equipment,Office Plus,200000,Pending,Rajshahi,
PO0024,4/18/2024,4/25/2024,HR,IT Equipment,TechCorp BD,200000,Active,Sylhet,Urgent
PO0025,3/4/2024,3/8/2024,Finance,Services,Rahman Traders,25000,Active,Rajshahi,Regular
PO0026,1/20/2024,,Admin,IT Equipment,Office Plus,8000,Active,CTG,Approved
PO0027,5/4/2024,5/12/2024,HR,Office Supplies,Printers Ltd,25000,Active,Rajshahi,
PO0028,4/26/2024,5/1/2024,Admin,Services,Rahman Traders,120000,Active,Sylhet,Regular
PO0029,1/15/2024,1/25/2024,HR,IT Equipment,CTG Traders,5000,Active,Khulna,On hold
PO0030,2/10/2024,2/11/2024,HR,Maintenance,Office Plus,8000,Pending,CTG,Approved
PO0031,1/31/2024,2/15/2024,HR,Maintenance,Office Plus,25000,Active,Khulna,On hold
PO0032,5/13/2024,5/19/2024,IT,Office Supplies,Islam & Sons,50000,Active,CTG,
PO0033,6/14/2024,6/19/2024,HR,IT Equipment,Paper World,200000,Cancelled,Khulna,Urgent
PO0034,1/19/2024,1/28/2024,Finance,Raw Material,Office Plus,25000,Active,Sylhet,
PO0035,2/10/2024,2/18/2024,Admin,IT Equipment,Mia Supplies,50000,Active,Dhaka,Regular
PO0036,3/8/2024,3/10/2024,Finance,Raw Material,Islam & Sons,8000,Cancelled,CTG,
PO0037,3/28/2024,4/1/2024,IT,IT Equipment,Office Plus,50000,Pending,Rajshahi,
PO0038,1/12/2024,1/13/2024,IT,Office Supplies,Paper World,80000,Cancelled,Rajshahi,On hold
